interval_loinc_code,UCUM_unit,low_reportable_limit,high_reportable_limit
42758-3,10*6/uL,0,2
43402-7,mm/h,0,225
43605-5,mg/dL,0,3951
43734-3,s,1,297
44292-1,mg/g,0,43935
44783-9,meq/L,10,373
44784-7,mg/dL,0.0001,120
44785-4,[IU]/L,0.0001,38190
44786-2,[IU]/L,0.0001,63909
4485-9,mg/dL,0.0001,457
44933-0,,0.0001,2
4498-2,mg/dL,0.0001,132
4537-7,mm/h,0,225
4538-5,mm/h,0,225
45383-7,/[HPF],0,1500
4542-7,mg/dL,0.0001,1426
4543-5,mg/dL,0.0001,1426
4548-4,%,0.0001,33
4549-2,%,0.0001,33
46127-7,mg/dL,0.0001,1426
46128-5,[arb'U],0,180
46133-5,/[HPF],0,915
46134-3,/[LPF],0,1145
46135-0,/[LPF],0,3191
46136-8,/[HPF],0,369
46419-8,/[HPF],0,1500
46702-7,/[HPF],0,1500
47596-2,mmol/L,0.0001,7
48065-7,ng/mL,0,75365
48067-3,ng/mL,0,75365
48148-1,mosm/kg,0.0001,2459
48378-4,,0,41523
48391-7,meq/L,0.0001,171
48421-2,mg/L,0.0001,912
48425-3,ng/mL,0,79
48664-7,mg/dL,10,2703
49041-7,ng/dL,0.0001,2768
49130-8,mg/dL,0,503
49132-4,mg/dL,0.0001,996
49136-5,%,0,107
49220-7,ng/mL,0.0001,17970
49497-1,10*3/uL,0.0001,4481
49498-9,10*3/uL,0,1326
49551-5,ng/mL,0,1009
49765-1,mg/dL,0.0001,51
50339-1,mg/dL,0.0001,2278
50560-2,,0.0001,17
50561-0,mg/dL,0,18315
50562-8,,0.0001,2
50897-8,,0.0001,17
51190-7,mg/dL,0,3951
51588-2,/uL,0,359550
51590-8,meq/L,10,222
51781-3,meq/L,0.0001,171
51926-4,/uL,0,1106250
52816-6,/uL,0,845579
52818-2,/uL,0,1106250
53326-5,,0.0001,2
53530-2,mg/dL,0,3951
53531-0,mg/dL,0,3951
53651-6,,0.0001,17
53652-4,,0.0001,17
54218-3,{ratio},0,193
55440-2,mg/dL,0.0001,996
55782-7,g/dL,0.0001,37
55805-6,ng/mL,0,2649
55902-1,mg/dL,0,12323
55922-9,mg/dL,0,23259
55925-2,mg/dL,0,13755
55974-0,mg/dL,0,23259
5640-8,mg/dL,0,1104
5643-2,mg/dL,0,1104
56478-1,mg/dL,0,1104
57340-2,meq/L,0.0001,466
57341-0,meq/L,0.0001,466
57344-4,mg/dL,0,1739
57346-9,mg/dL,0,1739
57355-0,meq/L,0.0001,221
57369-1,mg/dL,0,3951
57370-9,meq/L,0.0001,879
57372-5,mosm/kg,0.0001,2459
57379-0,meq/L,0.0001,221
57382-4,meq/L,0.0001,879
57843-5,/uL,0,3172500
5787-7,/[HPF],0,915
57920-1,meq/L,0.0001,171
57922-7,meq/L,0.0001,171
5793-5,/[LPF],0,1145
5796-8,/[LPF],0,3191
5803-2,,0.0001,17
5804-0,mg/dL,0,18315
5810-7,,0.0001,2
5811-5,,0.0001,2
5821-4,/[HPF],0,1500
58413-6,%,0,1562
58470-6,/uL,0,845579
58906-9,/uL,0,845579
5902-2,s,1,231
5907-1,10*3/uL,0.0001,4481
59827-6,mg/dL,0,131
59828-4,mg/dL,0,131
60474-4,%,0,58
60474-4,10*6/uL,0,2
60678-0,{ratio},0,533
61151-7,g/dL,0.0001,14
61152-5,g/dL,0.0001,14
62388-4,%,0.0001,33
6299-2,mg/dL,0.0001,458
6301-6,,0.0001,41
6597-9,ng/mL,0,79
6598-7,ng/mL,0,79
6690-2,10*3/uL,0,1326
6697-7,[IU]/L,0.0001,10155
67151-1,ng/mL,0,79
6768-6,[IU]/L,0.0001,8948
6769-4,[IU]/L,0.0001,8948
6777-7,mg/dL,0.0001,5265
6892-4,ng/dL,0.0001,12
6942-7,mg/dL,0,3951
704-7,10*3/uL,0,48
705-4,10*3/uL,0,48
711-2,10*3/uL,0,85
712-0,10*3/uL,0,85
71425-3,pg/mL,0.0001,193499
71426-1,mg/L,0.0001,912
718-7,g/dL,0.0001,37
731-0,10*3/uL,0,917
732-8,10*3/uL,0,917
73578-7,meq/L,-80,148
73579-5,meq/L,-80,148
73580-3,meq/L,-80,148
73581-1,meq/L,-80,148
73582-9,meq/L,-80,148
74096-9,ng/mL,0,74
74097-7,ng/mL,0,74
742-7,10*3/uL,0,174
743-5,10*3/uL,0,174
74464-9,10*3/uL,0.0001,4481
74685-9,meq/L,0.0001,879
74774-1,mg/dL,0.0001,5265
74859-0,mg/dL,0,1104
751-8,10*3/uL,0,404
752-6,10*3/uL,0,404
753-4,10*3/uL,0,404
76625-3,[IU]/L,0.0001,38190
76630-3,[IU]/L,0.0001,10155
76631-1,g/dL,0.0001,14
76768-1,g/dL,0.0001,37
76769-9,g/dL,0.0001,37
77138-6,meq/L,10,222
77139-4,meq/L,10,373
77141-0,[IU]/L,0.0001,8948
77143-6,meq/L,0.0001,171
77144-4,[IU]/L,0.0001,38190
77146-9,[IU]/L,0.0001,10155
77148-5,g/dL,0.0001,14
77341-6,meq/L,-80,148
777-3,10*3/uL,0.0001,4481
778-1,10*3/uL,0.0001,4481
77940-5,mg/dL,0,3951
785-6,pg,0.0001,129
786-4,g/dL,0.0001,124
787-2,fL,0.0001,234
788-0,%,0.0001,73
789-8,10*6/uL,0.0001,14
790-6,10*6/uL,0.0001,14
791-4,/uL,0,3652500
792-2,/uL,0,3652500
795-5,/uL,0,3172500
804-5,10*3/uL,0,1326
80515-0,mg/L,0.0001,388200
80516-8,mg/L,0.0001,35731
80517-6,,0,41523
8122-4,/uL,0,105966
82477-1,mm/h,0,225
83073-7,ng/mL,0,2451000
83082-8,U/mL,0,35146
83085-1,ng/mL,0,74389
83086-9,m[IU]/mL,0,1315055
83088-5,ug/dL,0.0001,4210
83092-7,ng/mL,0,1009
83093-5,ng/mL,0,12
83107-3,pg/mL,0.0001,193499
83112-3,ng/mL,0,18487
83116-4,ng/dL,0.0001,2768
83119-8,ug/dL,0.0001,74
83122-2,ng/dL,0.0001,12
83124-8,ng/dL,0.0001,962
88112-8,[IU]/L,0.0001,63909
88966-7,/[LPF],0,3191
88974-1,/[LPF],0,1145
89999-7,mg/dL,0,3951
92736-8,/uL,0,30132
9318-7,mg/g,0,43935
93791-2,mg/dL,0.0001,5265
95594-8,ng/mL,0.0001,277
96259-7,mg/dL,0.0001,996
97536-7,,6,13
97538-3,mm[Hg],0.0001,369
97540-9,mm[Hg],0.0001,1371
97543-3,meq/L,0.0001,163
97545-8,meq/L,0.0001,171
97546-6,meq/L,-715,489
97550-8,g/dL,0.0001,37
97555-7,g/dL,0.0001,37
97556-5,g/dL,0.0001,37
97995-5,10*3/uL,0.0001,4481
9830-1,{ratio},1,253
98981-4,mg/dL,0.0001,42
98996-2,mg/dL,0.0001,901
